연도,월,관람객수,단체관람객수,전시,문화,학술,교육,기타,공휴일수,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),일최다강수량(mm),month_sin,month_cos,총축제방문객수
1997.0,9.0,54083.0,19178,0.0,0.0,0.0,0.0,0.0,3.0,19.6,26.6,14.2,33.9,6.9,14.5,4.0,-1.0,-1.83697019872103e-16,0.0
1997.0,10.0,171791.0,85571,0.0,0.0,0.0,0.0,0.0,1.0,12.6,20.2,5.4,27.2,-2.5,23.0,8.0,-0.866025403784439,0.5,0.0
1997.0,11.0,63846.0,21800,0.0,0.0,0.0,0.0,0.0,0.0,7.2,14.1,1.4,21.5,-5.9,153.5,63.5,-0.5,0.866025403784438,3000.0
1997.0,12.0,192048.0,11146,0.0,0.0,0.0,0.0,0.0,2.0,0.6,6.3,-4.3,15.6,-13.9,43.5,27.0,-2.44929359829471e-16,1.0,0.0
1998.0,1.0,34803.0,0,0.0,0.0,0.0,0.0,0.0,5.0,-2.3,3.0,-7.7,8.6,-16.4,20.4,7.7,0.5,0.866025403784439,0.0
1998.0,2.0,27148.0,2910,0.0,0.0,0.0,0.0,0.0,0.0,1.9,7.9,-3.9,15.3,-15.4,27.9,10.0,0.866025403784439,0.5,0.0
1998.0,3.0,59936.0,6598,0.0,0.0,0.0,0.0,0.0,1.0,5.8,13.4,-1.4,23.3,-5.5,29.5,25.5,1.0,6.12323399573677e-17,0.0
1998.0,4.0,132784.0,86075,0.0,0.0,0.0,0.0,0.0,1.0,14.8,20.9,9.6,28.3,-1.8,120.5,52.5,0.866025403784439,-0.5,0.0
1998.0,5.0,132922.0,71556,0.0,0.0,0.0,0.0,0.0,2.0,17.9,24.3,12.2,31.5,7.2,85.0,36.5,0.5,-0.866025403784439,0.0
1998.0,6.0,76765.0,33416,0.0,0.0,0.0,0.0,0.0,2.0,20.3,25.0,16.0,30.2,11.0,219.5,78.5,1.22464679914735e-16,-1.0,0.0
1998.0,7.0,51180.0,11119,0.0,0.0,0.0,0.0,0.0,1.0,24.0,28.0,20.5,32.3,17.5,277.0,50.5,-0.5,-0.866025403784439,0.0
1998.0,8.0,128188.0,11202,0.0,0.0,0.0,0.0,0.0,1.0,24.1,28.6,20.4,32.0,16.1,408.1,90.5,-0.866025403784438,-0.5,14516.66666666667
1998.0,9.0,65565.0,37224,0.0,0.0,0.0,0.0,0.0,0.0,20.5,26.9,15.3,31.9,9.6,283.0,176.0,-1.0,-1.83697019872103e-16,0.0
1998.0,10.0,118173.0,76819,0.0,0.0,0.0,0.0,0.0,4.0,14.6,21.2,8.8,25.7,0.1,51.5,18.0,-0.866025403784439,0.5,0.0
1998.0,11.0,59376.0,29086,0.0,0.0,0.0,0.0,0.0,0.0,6.1,13.0,-0.1,21.8,-7.5,52.8,18.0,-0.5,0.866025403784438,3000.0
1998.0,12.0,31837.0,8466,0.0,0.0,0.0,0.0,0.0,1.0,0.3,7.1,-5.2,14.6,-11.0,8.5,3.5,-2.44929359829471e-16,1.0,0.0
1999.0,1.0,51202.0,3471,0.0,0.0,0.0,0.0,0.0,1.0,-1.6,4.6,-7.8,12.7,-13.5,2.7,1.2,0.5,0.866025403784439,0.0
1999.0,2.0,26550.0,3568,0.0,0.0,0.0,0.0,0.0,3.0,-0.5,5.8,-6.9,12.1,-14.2,2.8,1.0,0.866025403784439,0.5,0.0
1999.0,3.0,68908.0,16946,0.0,0.0,0.0,0.0,0.0,1.0,4.8,11.4,-2.2,19.3,-5.6,46.5,26.5,1.0,6.12323399573677e-17,0.0
1999.0,4.0,180784.0,118312,0.0,0.0,0.0,0.0,0.0,1.0,11.8,18.8,5.4,27.3,-1.6,88.5,30.5,0.866025403784439,-0.5,0.0
1999.0,5.0,185227.0,94053,0.0,0.0,0.0,0.0,0.0,2.0,16.2,22.3,10.2,27.4,6.3,121.5,73.5,0.5,-0.866025403784439,0.0
1999.0,6.0,88840.0,50646,0.0,0.0,0.0,0.0,0.0,1.0,21.0,27.0,15.7,30.4,12.6,163.7,71.5,1.22464679914735e-16,-1.0,0.0
1999.0,7.0,57602.0,10318,0.0,0.0,0.0,0.0,0.0,1.0,23.7,28.6,19.6,32.9,14.7,138.5,36.5,-0.5,-0.866025403784439,0.0
1999.0,8.0,139539.0,11067,0.0,0.0,0.0,0.0,0.0,1.0,24.1,29.0,20.3,33.1,17.6,313.5,135.5,-0.866025403784438,-0.5,14516.66666666667
1999.0,9.0,44694.0,22129,0.0,0.0,0.0,0.0,0.0,3.0,21.2,26.6,17.1,30.1,11.8,324.5,74.5,-1.0,-1.83697019872103e-16,0.0
1999.0,10.0,148371.0,100499,0.0,0.0,0.0,0.0,0.0,1.0,12.3,19.3,6.2,24.7,-1.0,134.5,44.5,-0.866025403784439,0.5,0.0
1999.0,11.0,67444.0,34092,0.0,0.0,0.0,0.0,0.0,0.0,6.1,12.7,0.6,19.0,-4.8,16.5,5.5,-0.5,0.866025403784438,3000.0
1999.0,12.0,32278.0,11533,0.0,0.0,0.0,0.0,0.0,1.0,-0.7,5.1,-6.1,12.5,-14.1,11.9,3.5,-2.44929359829471e-16,1.0,0.0
2000.0,1.0,41879.0,3960,0.0,0.0,0.0,0.0,0.0,1.0,-2.3,2.0,-7.0,10.1,-16.6,52.3,30.5,0.5,0.866025403784439,0.0
2000.0,2.0,25792.0,2615,0.0,0.0,0.0,0.0,0.0,3.0,-2.5,3.1,-8.4,8.3,-14.0,2.7,1.1,0.866025403784439,0.5,0.0
2000.0,3.0,80797.0,15587,0.0,0.0,0.0,0.0,0.0,1.0,4.4,12.2,-3.2,20.1,-9.7,7.1,4.0,1.0,6.12323399573677e-17,0.0
2000.0,4.0,164989.0,99641,0.0,0.0,0.0,0.0,0.0,2.0,9.2,16.2,1.8,21.7,-5.2,36.0,29.0,0.866025403784439,-0.5,0.0
2000.0,5.0,196691.0,96869,0.0,0.0,0.0,0.0,0.0,2.0,15.0,21.3,9.7,28.4,3.6,36.0,19.5,0.5,-0.866025403784439,0.0
2000.0,6.0,94417.0,48463,0.0,0.0,0.0,0.0,0.0,1.0,19.9,25.2,15.4,29.5,10.2,181.0,63.0,1.22464679914735e-16,-1.0,0.0
2000.0,7.0,53771.0,12905,0.0,0.0,0.0,0.0,0.0,1.0,25.3,30.4,21.1,33.2,17.0,83.0,30.5,-0.5,-0.866025403784439,0.0
2000.0,8.0,144788.0,8492,0.0,0.0,0.0,0.0,0.0,1.0,25.3,30.2,21.6,33.4,17.6,636.0,108.5,-0.866025403784438,-0.5,14516.66666666667
